col_name,col_name_lime
id,id
study_exist,TYPstudy[stumat]
qualraw_exist,TYPresQL[QLraw]
qualcoded_exist,TYPresQL[QLcoded]
qualcodebook_exist,TYPresQL[QLcBook]
quanraw_exist,TYPresQT[QTraw]
quanprocessed_exist,TYPresQT[QTprp]
quancode_exist,TYPresQT[QTsrc]
software_exist,TYPprod[SW]
hardware_exist,TYPprod[HW]
others_exist,TYPothers
study_claim,claimByType[stumat]
qualraw_claim,claimByType[QLraw]
qualcoded_claim,claimByType[QLcoded]
qualcodebook_claim,claimByType[QLcBook]
quanraw_claim,claimByType[QTraw]
quanprocessed_claim,claimByType[QTprp]
quancode_claim,claimByType[QTsrc]
software_claim,claimByType[SW]
hardware_claim,claimByType[HW]
others_claim,claimByTypeOther[other]
study_public,stumatIsPub
study_in_paper,stumatWhere[paper]
study_in_prev_work,stumatWhere[prevWork]
study_in_acmdl,stumatWhere[acmdl]
study_in_repo_pub,stumatWhere[pubRepo]
study_in_repo_uni,stumatWhere[uniRepo]
study_in_repo_github,stumatWhere[webRepo]
study_in_web,stumatWhere[webPersonal]
study_in_author,stumatWhere[author]
study_in_other,stumatWhere[other]
study_url_pub,stumatURLPub
study_url_uni,stumatURLUni
study_url_github,stumatURLGH
study_url_author,stumatURLPersWeb
study_why_sensitive_participant,stumatWhy[senPar]
study_why_sensitive_researcher,stumatWhy[senRes]
study_why_sensitive_government,stumatWhy[senGov]
study_why_no_permission,stumatWhy[noPerm]
study_why_resource_annonymize,stumatWhy[resAno]
study_why_commercial,stumatWhy[valCom]
study_why_research,stumatWhy[valRes]
study_why_resource_present,stumatWhy[resPres]
study_why_resource_distribute,stumatWhy[resDist]
study_why_off_context,stumatWhy[offCtx]
study_why_no_benefit,stumatWhy[nogood]
study_why_dont_know,stumatWhy[dunno]
study_why_other,stumatWhyOther
study_condition_repro,stumatCond[reprod]
study_condition_build,stumatCond[build]
study_condition_proof,stumatCond[proof]
qualraw_public,QLrawIsPub
qualraw_in_paper,QLrawWhere[paper]
qualraw_in_prev_work,QLrawWhere[prevWork]
qualraw_in_acmdl,QLrawWhere[acmdl]
qualraw_in_repo_pub,QLrawWhere[pubRepo]
qualraw_in_repo_uni,QLrawWhere[uniRepo]
qualraw_in_repo_github,QLrawWhere[webRepo]
qualraw_in_web,QLrawWhere[webPersonal]
qualraw_in_author,QLrawWhere[author]
qualraw_in_other,QLrawWhere[other]
qualraw_url_pub,QLrawURLPub
qualraw_url_uni,QLrawURLUni
qualraw_url_github,QLrawURLGH
qualraw_url_author,QLrawURLPersWeb
qualraw_why_sensitive_participant,QLrawWhy[senPar]
qualraw_why_sensitive_researcher,QLrawWhy[senRes]
qualraw_why_sensitive_government,QLrawWhy[senGov]
qualraw_why_no_permission,QLrawWhy[noPerm]
qualraw_why_resource_annonymize,QLrawWhy[resAno]
qualraw_why_commercial,QLrawWhy[valCom]
qualraw_why_research,QLrawWhy[valRes]
qualraw_why_resource_present,QLrawWhy[resPres]
qualraw_why_resource_distribute,QLrawWhy[resDist]
qualraw_why_off_context,QLrawWhy[offCtx]
qualraw_why_no_benefit,QLrawWhy[nogood]
qualraw_why_dont_know,QLrawWhy[dunno]
qualraw_why_other,QLrawWhyOther
qualraw_condition_repro,QLrawCond[reprod]
qualraw_condition_build,QLrawCond[build]
qualraw_condition_proof,QLrawCond[proof]
qualcoded_public,QLcodedIsPub
qualcoded_in_paper,QLcodedWhere[paper]
qualcoded_in_prev_work,QLcodedWhere[prevWork]
qualcoded_in_acmdl,QLcodedWhere[acmdl]
qualcoded_in_repo_pub,QLcodedWhere[pubRepo]
qualcoded_in_repo_uni,QLcodedWhere[uniRepo]
qualcoded_in_repo_github,QLcodedWhere[webRepo]
qualcoded_in_web,QLcodedWhere[webPersonal]
qualcoded_in_author,QLcodedWhere[author]
qualcoded_in_other,QLcodedWhere[other]
qualcoded_url_pub,QLcodedURLPub
qualcoded_url_uni,QLcodedURLUni
qualcoded_url_github,QLcodedURLGH
qualcoded_url_author,QLcodedURLPersWeb
qualcoded_why_sensitive_participant,QLcodedWhy[senPar]
qualcoded_why_sensitive_researcher,QLcodedWhy[senRes]
qualcoded_why_sensitive_government,QLcodedWhy[senGov]
qualcoded_why_no_permission,QLcodedWhy[noPerm]
qualcoded_why_resource_annonymize,QLcodedWhy[resAno]
qualcoded_why_commercial,QLcodedWhy[valCom]
qualcoded_why_research,QLcodedWhy[valRes]
qualcoded_why_resource_present,QLcodedWhy[resPres]
qualcoded_why_resource_distribute,QLcodedWhy[resDist]
qualcoded_why_off_context,QLcodedWhy[offCtx]
qualcoded_why_no_benefit,QLcodedWhy[nogood]
qualcoded_why_dont_know,QLcodedWhy[dunno]
qualcoded_why_other,QLcodedWhyOther
qualcoded_condition_repro,QLcodedCond[reprod]
qualcoded_condition_build,QLcodedCond[build]
qualcoded_condition_proof,QLcodedCond[proof]
qualcodebook_public,QLcBookIsPub
qualcodebook_in_paper,QLcBookWhere[paper]
qualcodebook_in_prev_work,QLcBookWhere[prevWork]
qualcodebook_in_acmdl,QLcBookWhere[acmdl]
qualcodebook_in_repo_pub,QLcBookWhere[pubRepo]
qualcodebook_in_repo_uni,QLcBookWhere[uniRepo]
qualcodebook_in_repo_github,QLcBookWhere[webRepo]
qualcodebook_in_web,QLcBookWhere[webPersonal]
qualcodebook_in_author,QLcBookWhere[author]
qualcodebook_in_other,QLcBookWhere[other]
qualcodebook_url_pub,QLcBookURLPub
qualcodebook_url_uni,QLcBookURLUni
qualcodebook_url_github,QLcBookURLGH
qualcodebook_url_author,QLcBookURLPersWeb
qualcodebook_why_sensitive_participant,QLcBookWhy[senPar]
qualcodebook_why_sensitive_researcher,QLcBookWhy[senRes]
qualcodebook_why_sensitive_government,QLcBookWhy[senGov]
qualcodebook_why_no_permission,QLcBookWhy[noPerm]
qualcodebook_why_resource_annonymize,QLcBookWhy[resAno]
qualcodebook_why_commercial,QLcBookWhy[valCom]
qualcodebook_why_research,QLcBookWhy[valRes]
qualcodebook_why_resource_present,QLcBookWhy[resPres]
qualcodebook_why_resource_distribute,QLcBookWhy[resDist]
